City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,manokwari,-0.8667,134.0833,26.7,73,94,0.8,ID,1717279570
329,el nido,11.1858,119.3956,28.58,81,49,2.16,PH,1717279570
330,kapuskasing,49.4169,-82.4331,26.0,31,100,6.17,CA,1717279318
331,nizhnyaya tavda,57.6731,66.1725,5.08,70,3,2.37,RU,1717279570
332,saint-francois,46.4154,3.9054,12.69,90,100,4.12,FR,1717279570
333,port lincoln,-34.7333,135.8667,11.81,72,8,4.28,AU,1717279571
334,floro,61.5996,5.0328,12.04,82,28,6.17,NO,1717279571
335,namibe,-15.1961,12.1522,19.28,70,27,1.19,AO,1717279571
336,savanna-la-mar,18.219,-78.1332,27.18,79,100,2.07,JM,1717279571
337,rabo de peixe,37.8,-25.5833,18.73,99,20,3.6,PT,1717279571
338,kapa'a,22.0752,-159.319,28.99,73,20,8.75,US,1717279460
339,polonnaruwa,7.9333,81.0,26.37,84,99,3.77,LK,1717279571
340,nova sintra,14.8667,-24.7167,24.36,76,0,8.13,CV,1717279571
341,ha giang,22.8333,104.9833,25.12,97,100,0.37,VN,1717279571
342,saudarkrokur,65.7461,-19.6394,8.57,80,100,5.41,IS,1717279572
343,forster,-32.1667,152.5167,12.94,95,99,5.83,AU,1717279572
344,kozel'sk,54.0375,35.7716,15.75,96,92,1.65,RU,1717279572
345,glace bay,46.1969,-59.957,11.55,92,100,7.2,CA,1717279469
346,urangan,-25.3,152.9,15.67,93,100,4.92,AU,1717279572
347,metahara,8.9,39.9167,25.17,30,23,1.91,ET,1717279572
348,buka,40.8108,69.1986,20.62,27,3,1.69,UZ,1717279572
349,bouca,6.5105,18.2733,22.61,98,96,1.91,CF,1717279572
350,gebeit,21.0667,36.3167,27.31,19,6,3.83,SD,1717279573
351,port blair,11.6667,92.75,27.25,82,100,7.12,IN,1717279573
352,son la,21.3167,103.9,20.53,97,99,0.9,VN,1717279573
353,kurmuk,10.55,34.2833,24.62,66,75,1.85,SD,1717279573
354,chernyshevskiy,63.0128,112.4714,7.86,59,80,3.08,RU,1717279573
355,labytnangi,66.6572,66.4183,-2.57,87,82,4.35,RU,1717279573
356,idri,27.5,13.2667,31.45,24,34,9.45,LY,1717279573
357,benguela,-12.5763,13.4055,20.66,79,0,3.09,AO,1717279573
358,prado,-17.3411,-39.2208,22.87,86,18,4.73,BR,1717279573
359,savelugu,9.6244,-0.8253,27.66,74,19,3.61,GH,1717279574
360,umba,66.6871,34.3429,10.39,95,100,0.74,RU,1717279574
361,jiangyou,31.7667,104.7167,19.31,72,100,2.36,CN,1717279574
362,hirara,24.8,125.2833,26.15,100,100,3.6,JP,1717279574
